Dataset_Task_ID,Name,Ref,N,d,C,perc_cat,Subset,Metric,Setting,Model,Score,BestScore,improvability
46908 (363616),APSFailure,[113],76000,171,2.0,0.58,✗| ✓,AUC,Tuned,ExtraTrees,0.99,0.992,0.20000000000000018
46908 (363616),APSFailure,[113],76000,171,2.0,0.58,✗| ✓,AUC,Tuned + Ens.,ExtraTrees,0.991,0.993,0.20000000000000018
46905 (363613),Amazon_employee_access,[105],32769,10,2.0,100.0,✗| ✓,AUC,Default,ExtraTrees,0.833,0.882,4.900000000000004
46905 (363613),Amazon_employee_access,[105],32769,10,2.0,100.0,✗| ✓,AUC,Tuned,ExtraTrees,0.841,0.883,4.200000000000004
46905 (363613),Amazon_employee_access,[105],32769,10,2.0,100.0,✗| ✓,AUC,Tuned + Ens.,ExtraTrees,0.845,0.883,3.8000000000000034
46907 (363615),Another-Dataset-on-used-Fiat-500,[77],1538,8,,12.5,✓| ✗,rmse,Default,ExtraTrees,744.2,724.0,2.7143241064230104
46907 (363615),Another-Dataset-on-used-Fiat-500,[77],1538,8,,12.5,✓| ✗,rmse,Tuned,ExtraTrees,735.8,733.2,0.35335689045935165
46907 (363615),Another-Dataset-on-used-Fiat-500,[77],1538,8,,12.5,✓| ✗,rmse,Tuned + Ens.,ExtraTrees,735.1,726.6,1.1563052645898517
46911 (363619),Bank_Customer_Churn,[94],10000,11,2.0,45.45,✓| ✓,AUC,Default,ExtraTrees,0.851,0.872,2.100000000000002
46911 (363619),Bank_Customer_Churn,[94],10000,11,2.0,45.45,✓| ✓,AUC,Tuned,ExtraTrees,0.86,0.874,1.4000000000000012
46911 (363619),Bank_Customer_Churn,[94],10000,11,2.0,45.45,✓| ✓,AUC,Tuned + Ens.,ExtraTrees,0.861,0.874,1.3000000000000012
46912 (363620),Bioresponse,[84],3751,1777,2.0,0.06,✗| ✗,AUC,Default,ExtraTrees,0.867,0.873,0.6000000000000005
46912 (363620),Bioresponse,[84],3751,1777,2.0,0.06,✗| ✗,AUC,Tuned,ExtraTrees,0.868,0.875,0.7000000000000006
46912 (363620),Bioresponse,[84],3751,1777,2.0,0.06,✗| ✗,AUC,Tuned + Ens.,ExtraTrees,0.871,0.878,0.7000000000000006
46922 (363630),Diabetes130US,[112],71518,48,2.0,83.33,✗| ✓,AUC,Default,ExtraTrees,0.623,0.671,4.800000000000004
