GEOID,NAME,variable,estimate,moe
08069,"Larimer County, Colorado",population,338161,NA
08071,"Las Animas County, Colorado",population,14179,NA
08073,"Lincoln County, Colorado",population,5548,NA
08075,"Logan County, Colorado",population,21689,NA
08077,"Mesa County, Colorado",population,149998,NA
08079,"Mineral County, Colorado",population,823,113
08081,"Moffat County, Colorado",population,13060,NA
08083,"Montezuma County, Colorado",population,25909,NA
08085,"Montrose County, Colorado",population,41268,NA
08087,"Morgan County, Colorado",population,28257,NA
08089,"Otero County, Colorado",population,18325,NA
08091,"Ouray County, Colorado",population,4722,NA
08093,"Park County, Colorado",population,17392,NA
08095,"Phillips County, Colorado",population,4318,NA
08097,"Pitkin County, Colorado",population,17909,NA
08099,"Prowers County, Colorado",population,12052,NA
08101,"Pueblo County, Colorado",population,164685,NA
08103,"Rio Blanco County, Colorado",population,6465,NA
08105,"Rio Grande County, Colorado",population,11351,NA
08107,"Routt County, Colorado",population,24874,NA
08109,"Saguache County, Colorado",population,6468,NA
08111,"San Juan County, Colorado",population,544,97
08113,"San Miguel County, Colorado",population,7968,NA
08115,"Sedgwick County, Colorado",population,2350,NA
08117,"Summit County, Colorado",population,30429,NA
08119,"Teller County, Colorado",population,24113,NA
08121,"Washington County, Colorado",population,4840,NA
08123,"Weld County, Colorado",population,295123,NA
08125,"Yuma County, Colorado",population,10069,NA
09001,"Fairfield County, Connecticut",population,944348,NA
09003,"Hartford County, Connecticut",population,894730,NA
09005,"Litchfield County, Connecticut",population,183031,NA
09007,"Middlesex County, Connecticut",population,163368,NA
09009,"New Haven County, Connecticut",population,859339,NA
09011,"New London County, Connecticut",population,268881,NA
09013,"Tolland County, Connecticut",population,151269,NA
09015,"Windham County, Connecticut",population,116538,NA
10001,"Kent County, Delaware",population,174822,NA
10003,"New Castle County, Delaware",population,555133,NA
10005,"Sussex County, Delaware",population,219540,NA
12001,"Alachua County, Florida",population,263148,NA
12003,"Baker County, Florida",population,27785,NA
12005,"Bay County, Florida",population,182482,NA
12007,"Bradford County, Florida",population,26979,NA
12009,"Brevard County, Florida",population,576808,NA
12011,"Broward County, Florida",population,1909151,NA
12013,"Calhoun County, Florida",population,14444,NA
12015,"Charlotte County, Florida",population,176954,NA
12017,"Citrus County, Florida",population,143087,NA
12019,"Clay County, Florida",population,207291,NA
12021,"Collier County, Florida",population,363922,NA
12023,"Columbia County, Florida",population,69105,NA
12027,"DeSoto County, Florida",population,36399,NA
12029,"Dixie County, Florida",population,16437,NA
12031,"Duval County, Florida",population,924229,NA
12033,"Escambia County, Florida",population,311522,NA
